"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","dist_moved","RavennaH_seaway","RavennaH_geodesic"
40.5956,8.299356,2024,1,"Italy","HUMAN_OBSERVATION",NA,NA,NA,1897,542
43.400421,5.16454,2023,10,"France","HUMAN_OBSERVATION",NA,NA,NA,2171,588
43.34265,-1.76715,2016,12,"France","HUMAN_OBSERVATION",43.45,-1.74999999999999,12.03,4699,1136
43.53636,4.13253,2007,1,"France","HUMAN_OBSERVATION",43.55,4.05000000000001,6.83,2255,673
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2015,1,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2014,12,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2014,12,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2014,12,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2014,12,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2014,12,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,2014,12,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
42.2,-8.36,2010,3,"Spain","MATERIAL_SAMPLE",42.25,-8.74999999999999,32.63,3972,1723
42.2,-8.36,2010,3,"Spain","MATERIAL_SAMPLE",42.25,-8.74999999999999,32.63,3972,1723
42.2,-8.36,2010,3,"Spain","MATERIAL_SAMPLE",42.25,-8.74999999999999,32.63,3972,1723
42.2,-8.36,2010,3,"Spain","MATERIAL_SAMPLE",42.25,-8.74999999999999,32.63,3972,1723
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
40.36501,-3.651625,NA,NA,"Spain","MATERIAL_SAMPLE",NA,NA,NA,NA,NA
